,BU,RU,FU,LU,UF,RF,LF,RD,BD,LD,BR,DR,FR,UR,BL,UL,FL,DL,DB,RB,UB,LB
BU,,(U' M' U' M)2,"[U M U : [M, U2]]",(U M' U M)2,"[U : [R' F' R, S]]","[U : [U M' U', R]]","[U' : [U' M' U, L']]","[U' R' F' R : [S, R2]]","[M U M' U : [M', U2]]","[U L F L' : [S', L2]]","[R U : [R' F' R, S']]","[U : [R' F' R, S']]","[U' M' : [U, l E' l']]",[M : (U M U M')2],"[R' F' R : [R E' R', U]]",[M : (U' M U' M')2],"[U M' : [U', r' E r]]","[U' : [L F L', S]]","[U : [D2, M' U M]] executed as U [M U' M'] U2 [M' U M] U","[U : [U M' U', R']]",,"[U' : [U' M' U, L]]"
RU,(M' U M U)2,,"[R U' R' U, M']","[M U : [M, U2]]",[M u' : M' u2 M' u2],"[U M' U', R]","[U : [M', U L' U']]","[S' U : [M', U2]]","[U D : [S', R F R']]","[L F L' : [S', L2]]","[S' R' U : [M', U2]]","[R' F' R, S']","[L F L' U : [M', U2]]",,"[M' : [U', R E' R']]","[R' F' R, S]","[M' : [U', r' E r]]","[l' : [U', R' E R]]","[D2, M' U M] execute as [M U' M'] U2 [M' U M] U2","[U M' U', R']","[M : [R U' R' U, M2]]","[l U : [M, U2]]"
FU,"[U' M U : [M, U2]]","[M', R U' R' U]",,"[M', L' U L U']",,"[M', U' R U]","[M', U L' U']","[D' L F' : [E', L2]]","[D : [S', R F R']]","[D R' F : [E, R2]]","[D R D', M]","[U' : [R' F' R, S']]","[F' : [R U' R', E]]","[R' F' : [R U' R', E]]","[D' L' D, M]","[L F : [L' U L, E']]","[F : [L' U L, E']]","[U : [r U r', S]]","[U : [D2, M' U' M]] executed as U [M U M'] U2 [M' U' M] U","[M', U' R' U]","[U' : [R' F' R, S]]","[M', U L U']"
LU,(M' U' M U')2,"[M U' : [M, U2]]","[L' U L U', M']",,[M u : M' u2 M' u2],"[U' : [M', U' R U]]","[U' M' U, L']","[R' F' R : [S, R2]]","[U' D : [S', R F R']]","[S U' : [M', U2]]","[M' : [U, L' E L]]","[r : [U, L E' L']]","[M' : [U, l E' l']]","[r U r', S']","[S L U' : [M', U2]]",,"[R' F' R U' : [M', U2]]","[r U r', S]","[D2, M' U' M] executed as [M U M'] U2 [M' U' M] U2","[r' U' : [M, U2]]","[M : [L' U L U', M2]]","[U' M' U, L]"
UF,"[U : [S, R' F' R]]",[M u : M u2 M u2],,[M u' : M u2 M u2],,"[R2' F : [R2, E]]","[L2 F' : [L2, E']]","[R' F : [R2, E]]","[D' : [R F R', S']]","[L F' : [L2, E']]","[U D' L' : [E, L2]]","[D', M' U2 M]","[U D' L : [E', L2]]","[M U2 M, U]","[U' D R : [E', R2]]","[M U2 M, U']","[U' D R' : [E, R2]]","[D, M' U2 M]",M u2 M u2,"[F : [R2, E]]","[U2, M']","[F' : [L2, E']]"
RF,"[U : [R, U M' U']]","[R, U M' U']","[U' R U, M']","[U' : [U' R U, M']]","[R2' F : [E, R2]]",,"[x M2 U : [M, U2]]","[R : [U M' U', R]]","[D' R' D, M]","[M' U L : [E', L2]]","[F', R S' R']","[S' : [R, U M' U']]",,"[L F : [L' S' L, F]]","[r : [U', r E' r']]","[F', R S R']","[r U' r', E]","[F', R' S' R]","[R : [D2, M' U M]] execute as R [M U' M'] U2 [M' U M] U2 R'","[R : [U M' U', R2]]","[M : [U' R U, M2]]","[l' U L : [E', L2]]"
LF,"[U' : [L', U' M' U]]","[U : [U L' U', M']]","[U L' U', M']","[L', U' M' U]","[L2 F' : [E', L2]]","[x M2 U' : [M, U2]]",,"[M' U' R' : [E, R2]]","[D L D', M]","[L' : [U' M' U, L']]","[l' : [U, l' E l]]","[F, L S L']","[R' F R, E']","[F, L' S' L]","[R' F R, E]","[R' F' : [R S R', F']]",,"[S : [L', U' M' U]]","[L' : [D2, M' U' M]] executed as L' [M U M'] U2 [M' U' M] U2 L","[r U' R' : [E, R2]]","[M : [U L' U', M2]]","[L' : [U' M' U, L2]]"
RD,"[U' R' F' R' : [S, R2]]","[S' U' : [M', U2]]","[D' L F' : [L2, E']]","[R' F' R' : [S, R2]]","[R' F : [E, R2]]","[R : [R, U M' U']]","[M' U' R : [E, R2]]",,"[D' : [S, L' F L]]","[M' D : [M, D2]]","[R' f' R' : [S, R2]]",,"[S' : [U' M2 U, R]]","[R F' R', S]","[S' L U' : [M', U2]]","[U' R' F : [E, R2]]","[S' L' U' : [M', U2]]","[R F' R', S']",[S' u : M u2 M u2],"[R2 : [U M' U', R]]","[U : [R F' R', S]]","[R' F' : [E', R2]]"
BD,"[M U' M' U : [M', U2]]","[U D : [R F R', S']]","[D : [R F R', S']]","[U' D : [R F R', S']]","[D' : [S', R F R']]","[M, D' R' D]","[M, D L D']","[D' : [L' F L, S]]",,"[D : [R F' R', S']]","[M : [M, U R' U']]","[D' : [S', R F' R']]","[M : [M, U R U']]","[U D' : [S', R F R']]","[M : [M, U' L U]]","[U' D' : [S', R F R']]","[M : [M, U' L' U]]","[D : [S, L' F L]]",,"[M, D' R D]","[D' : [S', R' B' R]]","[M, D L' D']"
LD,"[U L F L : [S', L2]]","[L F L : [S', L2]]","[D R' F : [R2, E]]","[S U : [M', U2]]","[L F' : [E', L2]]","[M' U L' : [E', L2]]","[L' : [L', U' M' U]]","[M' D' : [M, D2]]","[D : [S', R F' R']]",,"[S R' U : [M', U2]]","[L' F L, S]","[S R U : [M, U2]]","[U L F' : [E', L2]]","[L f L : [S', L2]]","[L' F L, S']","[S : [U M2 U', L']]",,[S u' : M u2 M u2],"[L F : [E, L2]]","[U' : [L' F L, S']]","[L2 : [U' M' U, L']]"
BR,"[R U : [S', R' F' R]]","[U M' : [U R' U', M']]","[M' : [U R' U', M']]","[M' : [L' E L, U]]","[U D' L : [E, L2]]","[R S' R', F']","[l' : [l' E l, U]]","[R' f' R : [S, R2]]","[D R D', M']","[S R' U' : [M', U2]]",,"[R' : [U' M2 U, R']]","[R' : [U' M2 U, R2]]","[R', U' M2 U]","[R' D R : [E', R2]]","[D' L : [E, L2]]","[R' D R' : [E, R2]]","[M2 U' L' : [E, L2]]",[R' u : M u2 M u2],,"[U R' U', M2]","[R D R', E']"
DR,"[U : [S', R' F' R]]","[S', R' F' R]","[U' : [S', R' F' R]]","[r : [L E' L', U]]","[M' U2 M, D']","[S' : [U M' U', R]]","[L S L', F]",,"[D' : [R F' R', S']]","[S, L' F L]","[R2 : [U' M2 U, R]]",,"[R2 : [U' M2 U, R']]","[R2, U' M2 U]","[M2 U R' : [E', R2]]","[R2 U' : [M', U2]]","[M2 U R : [E, R2]]","[M2 D' : [M', D2]]",[R2 u : M u2 M u2],"[S' : [U M' U', R']]","[U R2 U', M2]","[D, R' E' R]"
FR,"[U' M' : [l E' l', U]]","[L F L' U' : [M', U2]]","[M' : [U R U', M']]","[M' : [l E' l', U]]","[U D' L' : [E', L2]]",,"[E', R' F R]","[S' : [R, U' M2 U]]","[D R' D', M']","[S R U' : [M, U2]]","[R : [U' M2 U, R2]]","[R : [U' M2 U, R]]",,"[R, U' M2 U]","[R D R : [E', R2]]","[D' L' : [E', L2]]","[R D R' : [E, R2]]","[M2 U' L : [E', L2]]",[R u : M u2 M u2],"[R' : [S', R' F' R]]","[U R U', M2]","[R' : [D, R' E' R]]"
UR,[M : (M U' M' U')2],,"[M' : [R' U R U', M']]","[S', r U r']","[U, M U2 M]","[L F : [F, L' S' L]]","[L' S' L, F]","[S, R F' R']","[U D' : [R F R', S']]","[U L F' : [L2, E']]","[U' M2 U, R']","[U' M2 U, R2]","[U' M2 U, R]",,"[D R : [E', R2]]","[U' : [M', U2]]","[D R' : [E, R2]]","[L2 U' : [M', U2]]",[u : M u2 M u2],"[f' R : [S, R2]]","[R' U R U', M2]","[L : [S', L F L']]"
BL,"[R' F' R : [U, R E' R']]","[M' : [R E' R', U']]","[M' : [U' L U, M']]","[U' M' : [U' L U, M']]","[U' D R' : [E', R2]]","[r : [r E' r', U']]","[E, R' F R]","[S' L U : [M', U2]]","[D' L' D, M']","[L f L' : [S', L2]]","[R' D R' : [E', R2]]","[M2 U R : [E', R2]]","[R D R' : [E', R2]]","[D R' : [E', R2]]",,"[L', U M2 U']","[F : [L' U L, E]]","[L : [U M2 U', L]]",[L u' : M u2 M u2],"[L' D' L, E]","[U' L U, M2]",
UL,[M : (M U M' U)2],"[S, R' F' R]","[M' : [L U' L' U, M']]",,"[U', M U2 M]","[R S R', F']","[R' F' : [F', R S R']]","[U' R' F : [R2, E]]","[U' D' : [R F R', S']]","[S', L' F L]","[D' L' : [E, L2]]","[R2 U : [M', U2]]","[D' L : [E', L2]]","[U : [M', U2]]","[U M2 U', L']",,"[U M2 U', L']","[L F : [E, L' U L]]",[u' : M u2 M u2],"[R' : [S, R' F' R]]",D R U R' U' R' U' R' U R U D',"[f L' : [S', L2]]"
FL,"[U M' : [r' E r, U]]","[M' : [r' E r, U']]","[M' : [U' L' U, M']]","[R' F' R U : [M', U2]]","[U' D R : [E, R2]]","[E, r U' r']",,"[S' L' U : [M', U2]]","[D' L D, M']","[S : [L', U M2 U']]","[R' D R : [E, R2]]","[M2 U R' : [E, R2]]","[R D R : [E, R2]]","[D R : [E, R2]]","[F : [E, L' U L]]","[L', U M2 U']",,"[L' : [U M2 U', L']]",[L' u' : M u2 M u2],"[L : [D', L E L']]","[U' L U, M2]","[L : [S, r U r']]"
DL,"[U' : [S, r U r']]","[l' : [R' E R, U']]","[U : [S', r U r']]","[S, r U r']","[M' U2 M, D]","[R' S' R, F']","[S : [U' M' U, L']]","[S', R F' R']","[D : [L' F L, S]]",,"[M2 U' L : [E, L2]]","[M2 D : [M', D2]]","[M2 U' L' : [E', L2]]","[L2 U : [M', U2]]","[L2 : [U M2 U', L']]","[L F : [L' U L, E]]","[L2 : [U M2 U', L]]",,[L2 u' : M u2 M u2],"[D', L E L']","[U' L2 U, M2]","[S : [U' M' U, L]]"
DB,"[U : [M' U M, D2]] executed as U [M' U M] U2 [M U' M'] U","[M' U M, D2] execute as [M' U M] U2 [M U' M'] U2","[U : [M' U' M, D2]] executed as U [M' U' M] U2 [M U M'] U","[M' U' M, D2] executed as [M' U' M] U2 [M U M'] U2",u2 M' u2 M',"[R : [M' U M, D2]] execute as R [M' U M] U2 [M U' M'] U2 R'","[L' : [M' U' M, D2'] executed as L' [M' U' M] U2 [M U M'] U2 L",[S' u' : M' u2 M' u2],,[S u : M' u2 M' u2],[R' u' : M' u2 M' u2],[R2 u' : M' u2 M' u2],[R u' : M' u2 M' u2],[u' : M' u2 M' u2],[L u : M' u2 M' u2],[u : M' u2 M' u2],[L' u : M' u2 M' u2],[L2 u : M' u2 M' u2],,"[R' : [M' U M, D2]] execute as R' [M' U M] U2 [M U' M'] U2 R",M' u2 M' u2,"[L : [M' U' M, D2]] executed as L [M' U' M] U2 [M U M'] U2 L'"
RB,"[U : [R', U M' U']]","[R', U M' U']","[U' R' U, M']","[r' U : [M, U2]]","[F : [E, R2]]","[R' : [U M' U', R2]]","[r U' R : [E, R2]]","[R' : [U M' U', R']]","[D' R D, M]","[L F : [L2, E]]",,"[S' : [R', U M' U']]","[R' : [R' F' R, S']]","[f' R' : [S, R2]]","[E, L' D' L]","[R' : [R' F' R, S]]","[L : [L E L', D']]","[L E L', D']","[R' : [D2, M' U M]] execute as R' [M U' M'] U2 [M' U M] U2 R",,"[M : [U' R' U, M2]]","[F' : [E', R2]]"
UB,,"[M : [M2, R U' R' U]]","[U' : [S, R' F' R]]","[M' : [L' U L U', M2]]","[M', U2]","[M' : [U' R U, M2]]","[M' : [U L' U', M2]]","[U : [S, R F' R']]","[D' : [R' B' R, S']]","[U' : [S', L' F L]]","[M2, U R' U']","[M2, U R2 U']","[M2, U R U']","[M2, R' U R U']","[M2, U' L U]",U' D R' U' R U R U R U' R' D',"[M2, U' L U]","[M2, U' L2 U]",M2 U2 M' U2 M',"[M' : [U' R' U, M2]]",,"[M' : [U L U', M2]]"
LB,"[U' : [L, U' M' U]]","[l U' : [M, U2]]","[U L U', M']","[L, U' M' U]","[F' : [E', L2]]","[l' U L' : [E', L2]]","[L : [U' M' U, L2]]","[R' F' : [R2, E']]","[D L' D', M]","[L2 : [L', U' M' U]]","[E', R D R']","[R' E' R, D]","[R' : [R' E' R, D]]","[L : [L F L', S']]",,"[f L : [S', L2]]","[L : [r U r', S]]","[S : [L, U' M' U]]","[L : [M' U' M, D2]] executed as L [M' U' M] U2 [M U M'] U2 L'","[F' : [R2, E']]","[M : [U L U', M2]]",
,,,,,,,,,,,,,,,,,,,,,,
,PROGRESS (440 TOTAL):,,comms w/ RS 5 mover,comms w/ LS 5 mover,comms w/ LE 5 mover,comms w/ RE 5 mover,comms w/ MU 5 mover,comms w/ MD 5 mover,comms w/ Mu 5 mover,total S comms,total E comms,total M comms,total combined slice comms,,,,,,,,,
,440,,8,8,28,38,38,4,28,140,130,254,84,,,,,,,,,
,,,1.82%,1.82%,6.36%,8.64%,8.64%,0.91%,6.36%,31.82%,29.55%,57.73%,19.09%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,THIS LIST HAS A LOT OF BAD ALGS I RECOMMEND NOT USING IT,,,,,,,,,,,,,,,,,,,,,
